sample_id,phase,worker,train_index,active_edge_ratio_by_turn,active_node_ratio_by_turn,candidate_provenance_coverage,recovery_subgraph_size,final_answer_source_type
mbpp:297,phase2,0,4,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,sink_output
mbpp:297,phase3a,0,4,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.8,0.0,stage1
mbpp:302,phase2,1,16,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.875,0.0,stage1
mbpp:302,phase3a,1,16,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,sink_output
mbpp:305,phase2,1,32,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9090909090909091,0.0,stage1
mbpp:305,phase3a,1,32,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888]",0.9375,0.0,stage1
mbpp:308,phase2,0,29,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9411764705882353,0.0,stage1
mbpp:308,phase3a,0,29,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571]",0.9375,0.0,stage1
mbpp:322,phase2,1,42,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,sink_output
mbpp:322,phase3a,1,42,"[0.8888888888888888, 0.7777777777777778, 0.7777777777777778, 0.6666666666666666, 0.6666666666666666]","[1.0, 1.0, 1.0, 0.875, 0.625]",1.0,0.0,sink_output
mbpp:323,phase2,1,9,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143]",1.0,4.0,stage1_anchor
mbpp:323,phase3a,1,9,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.75, 0.75, 0.75, 0.75, 0.75]",1.0,4.0,stage1_anchor
mbpp:326,phase2,0,9,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9375,0.0,stage1
mbpp:326,phase3a,0,9,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.875, 0.875, 0.875, 0.875, 0.875]",0.9411764705882353,0.0,stage1
mbpp:33,phase2,2,10,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,5.0,sink_output
mbpp:33,phase3a,2,10,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,4.0,stage1_anchor
mbpp:331,phase2,0,11,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9375,0.0,stage1
mbpp:331,phase3a,0,11,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9333333333333333,0.0,stage1
mbpp:340,phase2,2,50,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9285714285714286,0.0,sink_output
mbpp:340,phase3a,2,50,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.875,0.0,stage1
mbpp:341,phase2,0,18,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778]",1.0,0.0,sink_output
mbpp:341,phase3a,0,18,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,sink_output
mbpp:35,phase2,2,63,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.875, 0.875, 0.875, 0.875, 0.875]",1.0,0.0,sink_output
mbpp:35,phase3a,2,63,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]",1.0,0.0,checker_approved_proposal
mbpp:350,phase2,2,38,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,6.0,stage1_anchor
mbpp:350,phase3a,2,38,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9375,0.0,stage1
mbpp:36,phase2,0,16,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9375,0.0,stage1
mbpp:36,phase3a,0,16,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9375,0.0,stage1
mbpp:362,phase2,1,43,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,7.0,stage1_anchor
mbpp:362,phase3a,1,43,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,7.0,stage1_anchor
mbpp:363,phase2,1,31,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.875, 0.875, 0.875, 0.875, 0.875]",1.0,0.0,sink_output
mbpp:363,phase3a,1,31,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8, 0.8, 0.8, 0.8, 0.8]",1.0,0.0,sink_output
mbpp:365,phase2,2,32,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]",1.0,0.0,sink_output
mbpp:365,phase3a,2,32,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571]",1.0,0.0,sink_output
mbpp:381,phase2,1,62,"[1.0, 1.0, 1.0, 0.8, 0.8]","[1.0, 1.0, 1.0, 0.8333333333333334, 0.8333333333333334]",1.0,0.0,checker_approved_proposal
mbpp:381,phase3a,1,62,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,sink_output
mbpp:389,phase2,2,13,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,sink_output
